instrument,sharpe,n,k,sma_len,entry_frac,exit_z
SP500,0.06748001970243994,150,1.5,50,0.7,0.0
SP500,0.07581688683662906,150,1.5,50,0.7,0.5
SP500,0.2937442780982115,150,1.5,50,0.9,-0.5
SP500,0.08123775284205079,150,1.5,50,0.9,0.0
SP500,0.05914546630925035,150,1.5,50,0.9,0.5
SP500,0.3625971297806071,150,1.5,50,1.0,-0.5
SP500,0.0898958012308348,150,1.5,50,1.0,0.0
SP500,0.06265116831500117,150,1.5,50,1.0,0.5
SP500,0.1233406169088778,150,2.0,10,0.7,-0.5
SP500,-0.08242785842019437,150,2.0,10,0.7,0.0
SP500,-0.16306687718557666,150,2.0,10,0.7,0.5
SP500,0.11232353585570322,150,2.0,10,0.9,-0.5
SP500,0.007537693693212462,150,2.0,10,0.9,0.0
SP500,-0.10300589387060517,150,2.0,10,0.9,0.5
SP500,0.17287320640306245,150,2.0,10,1.0,-0.5
SP500,0.05434996827449478,150,2.0,10,1.0,0.0
SP500,-0.020249177454512383,150,2.0,10,1.0,0.5
SP500,0.3868165722120697,150,2.0,20,0.7,-0.5
SP500,0.1425674423998557,150,2.0,20,0.7,0.0
SP500,0.057262642938566366,150,2.0,20,0.7,0.5
SP500,0.42902878826166324,150,2.0,20,0.9,-0.5
SP500,0.22997728046565202,150,2.0,20,0.9,0.0
SP500,0.13599921219155947,150,2.0,20,0.9,0.5
SP500,0.49953783497109,150,2.0,20,1.0,-0.5
SP500,0.2610375014461532,150,2.0,20,1.0,0.0
SP500,0.20876144345875655,150,2.0,20,1.0,0.5
SP500,0.4700226016067676,150,2.0,50,0.7,-0.5
SP500,0.22552579062544828,150,2.0,50,0.7,0.0
SP500,0.15278739162976068,150,2.0,50,0.7,0.5
SP500,0.5035232649309812,150,2.0,50,0.9,-0.5
SP500,0.3055345108602709,150,2.0,50,0.9,0.0
SP500,0.2282466169822976,150,2.0,50,0.9,0.5
SP500,0.5777571833167492,150,2.0,50,1.0,-0.5
SP500,0.3431491387402213,150,2.0,50,1.0,0.0
SP500,0.30708396333128585,150,2.0,50,1.0,0.5
SP500,0.4347941873038444,150,2.5,10,0.7,-0.5
SP500,0.2052450450209728,150,2.5,10,0.7,0.0
SP500,0.11491978241362301,150,2.5,10,0.7,0.5
SP500,0.6840444424140206,150,2.5,10,0.9,-0.5
SP500,0.39190925660274784,150,2.5,10,0.9,0.0
SP500,0.30722896762344754,150,2.5,10,0.9,0.5
SP500,0.4262598686174565,150,2.5,10,1.0,-0.5
SP500,0.16833097060595736,150,2.5,10,1.0,0.0
SP500,0.1915648480773491,150,2.5,10,1.0,0.5
SP500,0.4665203221635816,150,2.5,20,0.7,-0.5
SP500,0.23578033508818957,150,2.5,20,0.7,0.0
SP500,0.14966611806068753,150,2.5,20,0.7,0.5
SP500,0.7051508461245681,150,2.5,20,0.9,-0.5
SP500,0.4194769557698373,150,2.5,20,0.9,0.0
SP500,0.33977104731234503,150,2.5,20,0.9,0.5
SP500,0.4493399747141772,150,2.5,20,1.0,-0.5
SP500,0.20333998608183335,150,2.5,20,1.0,0.0
SP500,0.21482501201198143,150,2.5,20,1.0,0.5
SP500,0.486698597871139,150,2.5,50,0.7,-0.5
SP500,0.2554803834467916,150,2.5,50,0.7,0.0
SP500,0.16801477904840614,150,2.5,50,0.7,0.5
SP500,0.7257702554036509,150,2.5,50,0.9,-0.5
SP500,0.4403062427947936,150,2.5,50,0.9,0.0
SP500,0.3590323719382902,150,2.5,50,0.9,0.5
SP500,0.46843130960202334,150,2.5,50,1.0,-0.5
SP500,0.22102707977085176,150,2.5,50,1.0,0.0
SP500,0.23121759348427084,150,2.5,50,1.0,0.5
SP500,0.6504340796762834,150,3.0,10,0.7,-0.5
SP500,0.3821048197740668,150,3.0,10,0.7,0.0
SP500,0.3193366781760738,150,3.0,10,0.7,0.5
SP500,0.3985230963380953,150,3.0,10,0.9,-0.5
SP500,0.26646046682040514,150,3.0,10,0.9,0.0
SP500,0.3246418423472319,150,3.0,10,0.9,0.5
SP500,0.516344790454463,150,3.0,10,1.0,-0.5
SP500,0.3415691123625801,150,3.0,10,1.0,0.0
SP500,0.37904136755355033,150,3.0,10,1.0,0.5
SP500,0.6345598353250369,150,3.0,20,0.7,-0.5
SP500,0.36839957824735564,150,3.0,20,0.7,0.0
SP500,0.3066872417595212,150,3.0,20,0.7,0.5
SP500,0.3787342979014094,150,3.0,20,0.9,-0.5
SP500,0.24992264450735346,150,3.0,20,0.9,0.0
SP500,0.30910033317129043,150,3.0,20,0.9,0.5
SP500,0.494523773421533,150,3.0,20,1.0,-0.5
SP500,0.32389869534990323,150,3.0,20,1.0,0.0
SP500,0.36225939751611463,150,3.0,20,1.0,0.5
SP500,0.658027762852425,150,3.0,50,0.7,-0.5
SP500,0.3924714734892002,150,3.0,50,0.7,0.0
SP500,0.3289126977623101,150,3.0,50,0.7,0.5
SP500,0.39465948890750796,150,3.0,50,0.9,-0.5
SP500,0.2637752262436571,150,3.0,50,0.9,0.0
SP500,0.3220228353786491,150,3.0,50,0.9,0.5
SP500,0.51139246808966,150,3.0,50,1.0,-0.5
SP500,0.338426830320917,150,3.0,50,1.0,0.0
SP500,0.37600426093342465,150,3.0,50,1.0,0.5
SP500,-0.03353893984464655,200,1.5,10,0.7,-0.5
SP500,-0.06247089610492026,200,1.5,10,0.7,0.0
SP500,-0.009465926541056983,200,1.5,10,0.7,0.5
SP500,0.03448829438846773,200,1.5,10,0.9,-0.5
SP500,0.08322424363694336,200,1.5,10,0.9,0.0
SP500,0.10103216191585693,200,1.5,10,0.9,0.5
SP500,0.0004164887128370524,200,1.5,10,1.0,-0.5
SP500,0.0026091098120948446,200,1.5,10,1.0,0.0
SP500,0.07278448161994007,200,1.5,10,1.0,0.5
SP500,0.04645312958633764,200,1.5,20,0.7,-0.5
SP500,-0.00207519397906442,200,1.5,20,0.7,0.0
SP500,0.05551392044798562,200,1.5,20,0.7,0.5
SP500,0.12556376718651696,200,1.5,20,0.9,-0.5
SP500,0.14170875619542628,200,1.5,20,0.9,0.0
SP500,0.1437024765069244,200,1.5,20,0.9,0.5
