inst,group,year,sharpe,ret
HDFCBANK,NSE daily,2000,1.7573108473095798,0.5698003201029086
HDFCBANK,NSE daily,2001,1.0074874102417077,0.3076884963548026
HDFCBANK,NSE daily,2002,1.3540343381355378,0.2525773929406995
HDFCBANK,NSE daily,2003,0.3186385050783836,0.08487091607539672
HDFCBANK,NSE daily,2004,0.9380477918138183,0.3657978100485234
HDFCBANK,NSE daily,2005,1.0298874836636986,0.24339450711388028
HDFCBANK,NSE daily,2006,1.0556859092196664,0.3196500611671586
HDFCBANK,NSE daily,2007,0.22507542312587275,0.06479173000650272
HDFCBANK,NSE daily,2008,1.5958084061410602,0.6871088945006963
HDFCBANK,NSE daily,2009,-0.7870598378140183,-0.22232799901758143
HDFCBANK,NSE daily,2010,-0.3338029710941699,-0.060478415413201835
HDFCBANK,NSE daily,2011,0.7592547726063347,0.13984110513754647
HDFCBANK,NSE daily,2012,-0.8653534177995694,-0.1455886047191379
HDFCBANK,NSE daily,2013,0.4608194301465963,0.0761756366202929
HDFCBANK,NSE daily,2014,-0.3585493164900604,-0.05113891479217767
HDFCBANK,NSE daily,2015,-0.25798841657108645,-0.036215280403918096
HDFCBANK,NSE daily,2016,0.4904558304731996,0.05815582977269611
HDFCBANK,NSE daily,2017,-2.120111793034808,-0.22952067792166114
HDFCBANK,NSE daily,2018,-0.44391509489317715,-0.04834844898584962
HDFCBANK,NSE daily,2019,0.6796398387331116,0.09111387007757321
HDFCBANK,NSE daily,2020,-0.6067871501998814,-0.18958346200024756
HDFCBANK,NSE daily,2021,0.4124765613598075,0.06334279453897032
HDFCBANK,NSE daily,2022,0.5694029713721499,0.10513872585517225
HDFCBANK,NSE daily,2023,-0.36458088247454373,-0.04232742619781486
HDFCBANK,NSE daily,2024,-0.9259326129786511,-0.13773266188194971
HDFCBANK,NSE daily,2025,0.46598616236513835,0.0459693089423621
