sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,outer,inner,bb_len
-11.672219842171073,-0.7317672156734989,0.523510558897133,5979,0.06874059207225289,1.9943134303395216,20,0.0005673041450686199,-0.003103264085975975,-8.038879295652617,-9.006933131438409,22777,NIFTY,1.0,1.0,10
-8.942476890966747,-0.6489109311981329,0.5544189313781446,4502,0.055308751665926255,2.80475344291426,33,0.0004246957660639425,-0.003210341759305999,-6.200811044066853,-7.347023212511638,22777,NIFTY,1.0,1.0,20
-5.822566496173992,-0.5251022103349345,0.59063968037933,3047,0.05349524122087299,4.4036757466360354,63,0.0003587531576570521,-0.0033341615831220628,-4.324056782608576,-5.233188458417354,22777,NIFTY,1.0,1.0,50
-4.11807015246936,-0.41351861299134074,0.5774245949861703,1998,0.031031031031031032,6.565065065065065,106,0.0005199506377043829,-0.003538114487557033,-2.8818238121814646,-3.9357288961912795,22777,NIFTY,1.0,1.0,100
-19.836311615671676,-0.9032690712531702,0.44413223866180795,7760,0.007216494845360825,1.3036082474226804,7,0.0004817671572173841,-0.003936115477278788,-14.346680776238111,-15.950173899913498,22777,NIFTY,1.0,1.5,10
-19.244959366109384,-0.9166516744883363,0.45594239803310355,6666,0.0009000900090009,1.5577557755775577,16,0.0006773762943714542,-0.004837682131898767,-14.621140909669382,-17.593757831010183,22777,NIFTY,1.0,1.5,20
-18.187390778928958,-0.9469696774460703,0.47675286473196643,5656,0.0,1.9199080622347948,38,,-0.006725886182766743,-16.738611430148723,-21.303000819579974,22777,NIFTY,1.0,1.5,50
-17.31575783433217,-0.9576574409154652,0.4623523730078588,4596,0.0,2.284595300261097,61,,-0.008893237568049888,-16.452001243985734,-24.421318618771544,22777,NIFTY,1.0,1.5,100
-4.726070608677256,-0.43645775888287763,0.6583834569960926,2557,0.5541650371529135,5.863511928040673,52,0.0023048260371978675,-0.009344391189845343,-3.0783000848133204,-4.308367376900994,22777,NIFTY,1.5,0.0,10
-2.974878464723237,-0.3165946897673309,0.7007507573429337,1367,0.570592538405267,11.642282370153621,69,0.0037556146297211845,-0.013239891836379398,-1.813446875599171,-3.0289902211730118,22777,NIFTY,1.5,0.0,20
-1.3209746634600845,-0.17457940435995234,0.7186196601835184,607,0.6079077429983526,26.907742998352553,155,0.006926608530874235,-0.020553589043705266,-0.6819569640368848,-1.6538786804723764,22777,NIFTY,1.5,0.0,50
-0.771365536791741,-0.11116918915817293,0.7046143039030601,309,0.6310679611650486,51.83171521035599,272,0.010398434388879465,-0.030079627006457194,-0.05822175177907729,-1.3431610211255467,22777,NIFTY,1.5,0.0,100
-5.373072856768562,-0.46184451518504516,0.6041620933397726,2894,0.5532135452660677,4.755010366275052,39,0.0017969606745446886,-0.008410163702413351,-3.3544030897933697,-4.643004537481047,22777,NIFTY,1.5,0.3,10
-3.4414893974777927,-0.33967730987020656,0.6416121526100891,1570,0.5662420382165605,9.306369426751592,61,0.0029660199067650895,-0.011698509758607091,-2.0253699677502937,-3.30452348074697,22777,NIFTY,1.5,0.3,20
-1.5626821638879274,-0.19282246665130878,0.6572419546033279,695,0.581294964028777,21.489208633093526,117,0.005693891330319347,-0.01701580208027555,-0.8884618017242112,-1.7628045061869584,22777,NIFTY,1.5,0.3,50
-1.0170449795345455,-0.13419081183930356,0.6409535935373403,343,0.6151603498542274,42.466472303207,264,0.008431398608806193,-0.026864596250010198,-0.2535384384594689,-1.5135631600837702,22777,NIFTY,1.5,0.3,100
-6.084898158034852,-0.4841682490909435,0.5390964569521887,3344,0.5293062200956937,3.6719497607655502,26,0.001398974749862986,-0.007005811248980362,-3.7576409473407737,-4.793320651296831,22777,NIFTY,1.5,0.6,10
-3.873842062243848,-0.3541519571785235,0.5676340167713044,1867,0.5586502410283878,6.923406534547402,46,0.0023173430048057074,-0.00976396471129356,-2.2005871366925427,-3.4279310314009983,22777,NIFTY,1.5,0.6,20
-1.8841513403290786,-0.2100526042526798,0.589937217368398,834,0.592326139088729,16.069544364508392,87,0.0043261691265729235,-0.014976018604328461,-1.0888294452991092,-1.8658893316455434,22777,NIFTY,1.5,0.6,50
-1.1673657659427366,-0.1433263441938806,0.5757562453352065,423,0.6099290780141844,30.92434988179669,211,0.0064254083932211836,-0.021540008460067022,-0.448423998705927,-1.4479220317540662,22777,NIFTY,1.5,0.6,100
-7.713129850778288,-0.5416152181842966,0.4472933222110023,4207,0.4473496553363442,2.4216781554551936,19,0.0007911852907311049,-0.004980256589456826,-4.697368084116162,-5.392717769215018,22777,NIFTY,1.5,1.0,10
-4.977881730079028,-0.39785083197457366,0.464108530535189,2566,0.5459859703819174,4.1196414653156666,34,0.0013161552960483942,-0.007204905846028957,-2.7751892330239807,-3.774592507835955,22777,NIFTY,1.5,1.0,20
-2.5207644215572826,-0.24654123005021855,0.48158229793212454,1213,0.6183017312448474,9.01401483924155,63,0.0026002237980765103,-0.011934613350805196,-1.510836395322341,-2.064721737543082,22777,NIFTY,1.5,1.0,50
-1.536355178396852,-0.16793158530320842,0.46805988497168194,631,0.6275752773375595,16.84310618066561,100,0.0037907047209187086,-0.01613000472560648,-0.8126549982417024,-1.476777042792012,22777,NIFTY,1.5,1.0,100
-11.977815457808129,-0.6860137350578788,0.3550511480879835,5690,0.050966608084358524,1.4212653778558875,7,0.0006080394788511343,-0.0028133802888971812,-7.205351085321295,-7.810571025856654,22777,NIFTY,1.5,1.5,10
-9.48650463290748,-0.601095146345571,0.3541730693243184,4306,0.03204830469112866,1.8734324198792383,15,0.00046746699745988654,-0.002870670909846422,-5.657277940911819,-6.243167965678602,22777,NIFTY,1.5,1.5,20
-6.3718057203164085,-0.47835179402093453,0.3558414189752821,2890,0.02456747404844291,2.8044982698961936,38,0.00037730112916067946,-0.0029950160733235305,-4.0534143097401145,-4.362747620788507,22777,NIFTY,1.5,1.5,50
-4.43294368028232,-0.3725505396058725,0.3456996092549502,1933,0.012933264355923435,4.0574236937403,61,0.00023904674179300333,-0.003131265288667156,-2.767787737133708,-3.2006902650984004,22777,NIFTY,1.5,1.5,100
-4.110967083241045,-0.37499581386082237,0.5985862931904992,2126,0.5493885230479775,6.4115710253998115,52,0.0027126128204561658,-0.009620485256097468,-2.4567821067304374,-3.5913109943181354,22777,NIFTY,2.0,0.0,10
-2.4601479425530313,-0.25680616444794413,0.6263335821223164,1105,0.5502262443438914,12.869683257918552,62,0.004624559953407796,-0.013223986205095073,-1.373220661522078,-2.3873680307382332,22777,NIFTY,2.0,0.0,20
-1.0508969417134832,-0.13467600119792372,0.6115379549545594,468,0.6196581196581197,29.688034188034187,150,0.007965629915679841,-0.022706997245700654,-0.3994540606868705,-1.3323587735006917,22777,NIFTY,2.0,0.0,50
-0.6766392361105695,-0.09324274359435512,0.6080695438380823,230,0.6043478260869565,60.082608695652176,272,0.01199624650968754,-0.030955306133802978,0.127497875474261,-1.2769524688037646,22777,NIFTY,2.0,0.0,100
-4.665231454963767,-0.3954702267617736,0.5441015059050797,2318,0.5340811044003452,5.34641932700604,39,0.002263421129555046,-0.008605432693811765,-2.6872543134724136,-3.804497637455146,22777,NIFTY,2.0,0.3,10
-2.7629938018456093,-0.26806884023112154,0.5634192387057119,1229,0.5606183889340928,10.439381611065908,61,0.003804028007376926,-0.012261336468530646,-1.470959712399584,-2.5291866835242622,22777,NIFTY,2.0,0.3,20
-1.1558932313010315,-0.13875610596976007,0.5515651753962331,519,0.5876685934489403,24.13872832369942,117,0.006934765866879868,-0.01839687497106298,-0.5680192913139024,-1.2538083630952155,22777,NIFTY,2.0,0.3,50
