inst,pnl,bars,side
NIFTY,-0.0006672969414169747,7,-1.0
NIFTY,-0.0006446246298642129,10,1.0
NIFTY,-0.005221408268145317,14,-1.0
NIFTY,0.00439582305798594,2,1.0
NIFTY,-0.010865306355819287,27,-1.0
NIFTY,-0.009665289896269542,19,-1.0
NIFTY,0.0024514343263090824,3,1.0
NIFTY,0.0017278233515518346,4,1.0
NIFTY,-0.0015873810068537607,10,-1.0
NIFTY,0.004314189981235506,6,1.0
NIFTY,0.0025498720742643806,5,1.0
NIFTY,-0.007415355566089774,21,-1.0
NIFTY,0.004140348265986319,1,-1.0
NIFTY,-0.007174898676911154,18,1.0
NIFTY,0.00608378416919238,15,-1.0
NIFTY,-0.001500655047518334,10,1.0
NIFTY,-0.004617134306436035,16,-1.0
NIFTY,-0.027466733590222968,26,-1.0
NIFTY,0.003630388943831153,2,-1.0
NIFTY,-0.00787213075239831,15,1.0
NIFTY,0.009778682162438728,3,-1.0
NIFTY,0.0040879431435047586,5,1.0
NIFTY,0.004169945064518795,9,-1.0
NIFTY,-0.0004402104987970704,8,-1.0
NIFTY,-0.005940907452186611,13,1.0
NIFTY,-0.009640723755811272,22,-1.0
NIFTY,0.0034422344482585923,1,1.0
NIFTY,-0.0007883004461347635,10,1.0
NIFTY,-0.003185287725398441,12,1.0
NIFTY,-0.0014728408570673069,9,1.0
NIFTY,-0.007983359452949647,18,-1.0
NIFTY,0.0034326026933374425,1,-1.0
NIFTY,-0.01281632331449338,21,-1.0
NIFTY,0.003617689625546458,5,1.0
NIFTY,-0.009794358938283142,21,1.0
NIFTY,0.0002486996452425357,11,-1.0
NIFTY,0.004293048945465056,1,-1.0
NIFTY,-0.01643349777397967,22,1.0
NIFTY,0.003528559152686658,9,-1.0
NIFTY,-0.03577212491711348,35,-1.0
NIFTY,0.0005119999819642915,10,-1.0
NIFTY,-0.007973839576473641,13,-1.0
NIFTY,0.005671926166976403,1,-1.0
NIFTY,0.0004922797229139591,5,-1.0
NIFTY,-0.02057413957241928,25,1.0
NIFTY,-0.009560604227636839,14,-1.0
NIFTY,-0.007172183628170189,14,1.0
NIFTY,0.0040831050732495515,5,-1.0
NIFTY,0.005973733592608202,2,1.0
NIFTY,-0.06224175228318114,61,-1.0
NIFTY,0.00461821185601641,1,1.0
NIFTY,0.004753789778652236,1,-1.0
NIFTY,-0.009083070664321242,17,1.0
NIFTY,0.010310158684038034,3,1.0
NIFTY,0.006449193387946756,2,-1.0
NIFTY,-0.019237382674131474,24,-1.0
NIFTY,0.003709595713962571,2,-1.0
NIFTY,-0.0013157528303075533,10,1.0
NIFTY,0.0029590095274986297,4,1.0
NIFTY,0.006963178535330959,4,-1.0
NIFTY,-0.002921627768766207,19,-1.0
NIFTY,0.009068836661614196,2,1.0
NIFTY,-0.012159786204159329,19,1.0
NIFTY,0.003034878201683253,6,-1.0
NIFTY,-0.0031843058628427835,18,-1.0
NIFTY,-0.0006712012098513923,12,-1.0
NIFTY,-0.01602703661350216,19,1.0
NIFTY,0.000573895339125895,12,1.0
NIFTY,0.010475395104649093,4,-1.0
NIFTY,-0.015019336586682442,28,-1.0
NIFTY,0.003370767897711847,2,1.0
NIFTY,-0.004855113484923525,13,-1.0
NIFTY,-0.0044583527426946155,14,1.0
NIFTY,-0.0018364199346052321,14,1.0
NIFTY,0.005931083730203578,3,-1.0
NIFTY,0.004452115568264586,9,1.0
NIFTY,-0.04271005477174176,42,-1.0
NIFTY,-0.024587024339899437,35,-1.0
NIFTY,0.0034914823745881597,5,-1.0
NIFTY,-0.017867772846982335,19,1.0
NIFTY,-0.011343738813822467,21,-1.0
NIFTY,0.0022185102073825767,9,-1.0
NIFTY,0.0007625415571545352,4,-1.0
NIFTY,-0.018339613022697467,23,1.0
NIFTY,0.004661133548636632,1,1.0
NIFTY,0.0058486135283561105,4,-1.0
NIFTY,-0.008630634831187593,14,-1.0
NIFTY,-0.002187892920463228,8,1.0
NIFTY,0.005638155648932978,3,1.0
NIFTY,0.007790021716220528,1,-1.0
NIFTY,-0.024041275323035294,30,-1.0
NIFTY,-0.011329618495048412,23,1.0
NIFTY,-0.00803437380722822,18,1.0
NIFTY,-0.0017308228522320151,11,1.0
NIFTY,-0.0022708026279685527,16,-1.0
NIFTY,0.0028407127212587463,1,-1.0
NIFTY,0.002422295510387653,2,1.0
